数字板接口号,上位机显示号,水听器标志,通道物理标志
板子1,板子1,板子1,板子1
A0,15,1,asasd
A1,10,1,asasd
A2,11,1,asasd
A3,3,1,asasd
A4,1,0,asasd
A5,2,0,asasd
A6,6,0,asasd
A7,4,0,asasd
A8,5,0,asasd
A9,7,0,asasd
A10,8,0,asasd
A11,9,0,asasd
A12,12,0,asasd
A13,13,0,asasd
A14,14,0,asasd
A15,16,0,asasd
板子2,板子2,板子2,板子2
A0,1,0,asasd
A1,13,1,asasd
A2,2,0,asasd
A3,10,0,asasd
A4,12,0,asasd
A5,14,1,asasd
A6,16,1,asasd
A7,11,0,asasd
A8,8,0,asasd
A9,3,0,asasd
A10,9,0,asasd
A11,15,1,asasd
A12,7,0,asasd
A13,5,0,asasd
A14,4,0,asasd
A15,6,0,asasd
板子3,板子3,板子3,板子3
A0,1,0,asasd
A1,13,1,asasd
A2,2,0,asasd
A3,10,0,asasd
A4,12,0,asasd
A5,14,1,asasd
A6,16,1,asasd
A7,11,0,asasd
A8,8,0,asasd
A9,3,0,asasd
A10,9,0,asasd
A11,15,1,asasd
A12,7,0,asasd
A13,5,0,asasd
A14,4,0,asasd
A15,6,0,asasd
板子4,板子4,板子4,板子4
A0,1,0,asasd
A1,13,1,asasd
A2,2,0,asasd
A3,10,0,asasd
A4,12,0,asasd
A5,14,1,asasd
A6,16,1,asasd
A7,11,0,asasd
A8,8,0,asasd
A9,3,0,asasd
A10,9,0,asasd
A11,15,1,asasd
A12,7,0,asasd
A13,5,0,asasd
A14,4,0,asasd
A15,6,0,asasd
板子5,板子5,板子5,板子5
A0,1,0,asasd
A1,13,1,asasd
A2,2,0,asasd
A3,10,0,asasd
A4,12,0,asasd
A5,14,1,asasd
A6,16,1,asasd
A7,11,0,asasd
A8,8,0,asasd
A9,3,0,asasd
A10,9,0,asasd
A11,15,1,asasd
A12,7,0,asasd
A13,5,0,asasd
A14,4,0,asasd
A15,6,0,asasd
